rank,coin_name,coin_symbol,Days,First Date,Last Date,Years
1,Bitcoin,BTC,1905,2020-08-10,2025-10-27,5.21
2,Ethereum,ETH,1897,2020-08-18,2025-10-27,5.19
3,XRP,XRP,1875,2020-09-09,2025-10-27,5.13
4,Tether USDt,USDT,64,2025-08-25,2025-10-27,0.17
5,Solana,SOL,1517,2021-09-02,2025-10-27,4.15
6,BNB,BNB,1894,2020-08-21,2025-10-27,5.18
7,Dogecoin,DOGE,1729,2021-02-02,2025-10-27,4.73
8,USDC,USDC,960,2023-03-13,2025-10-27,2.63
9,Cardano,ADA,1889,2020-08-26,2025-10-27,5.17
10,TRON,TRX,1877,2020-09-07,2025-10-27,5.14
11,Avalanche,AVAX,1434,2021-11-24,2025-10-27,3.92
12,Sui,SUI,909,2023-05-03,2025-10-27,2.49
13,Chainlink,LINK,1896,2020-08-19,2025-10-27,5.19
14,Toncoin,TON,606,2024-03-01,2025-10-27,1.66
15,Shiba Inu,SHIB,1633,2021-05-09,2025-10-27,4.47
16,Stellar,XLM,1656,2021-04-16,2025-10-27,4.53
17,Polkadot,DOT,1890,2020-08-25,2025-10-27,5.17
18,Hedera,HBAR,1686,2021-03-17,2025-10-27,4.61
19,Bitcoin Cash,BCH,1868,2020-09-08,2025-10-27,5.13
20,Uniswap,UNI,1659,2021-04-13,2025-10-27,4.54
21,Litecoin,LTC,1876,2020-09-08,2025-10-27,5.13
22,Pepe,PEPE,909,2023-05-03,2025-10-27,2.49
24,Hyperliquid,HYPE,151,2025-05-30,2025-10-27,0.41
26,NEAR Protocol,NEAR,1413,2021-12-15,2025-10-27,3.87
28,Internet Computer,ICP,1523,2021-05-11,2025-10-27,4.46
29,Aptos,APT,1099,2022-10-25,2025-10-27,3.01
30,Dai,DAI,310,2024-12-19,2025-10-27,0.85
31,Aave,AAVE,1399,2021-12-29,2025-10-27,3.83
32,Mantle,MNT,757,2023-10-02,2025-10-27,2.07
33,POL (ex-MATIC),POL,410,2024-09-13,2025-10-27,1.12
34,Render,RENDER,459,2024-07-26,2025-10-27,1.25
35,Ethereum Classic,ETC,1875,2020-09-09,2025-10-27,5.13
37,Bittensor,TAO,565,2024-04-11,2025-10-27,1.54
38,VeChain,VET,2083,2020-02-14,2025-10-27,5.7
39,Virtuals Protocol,VIRTUAL,322,2024-12-10,2025-10-27,0.88
40,Artificial Superintelligence Alliance,FET,1015,2023-01-17,2025-10-27,2.78
41,Arbitrum,ARB,950,2023-03-23,2025-10-27,2.6
42,Ethena,ENA,574,2024-04-02,2025-10-27,1.57
43,MANTRA,OM,623,2024-02-13,2025-10-27,1.7
44,Monero,XMR,2107,2020-01-21,2025-10-27,5.77
45,Filecoin,FIL,1831,2020-10-23,2025-10-27,5.01
46,Algorand,ALGO,1323,2022-03-15,2025-10-27,3.62
47,Kaspa,KAS,711,2023-11-17,2025-10-27,1.94
48,OKB,OKB,47,2025-09-11,2025-10-27,0.13
49,Cosmos,ATOM,1405,2021-12-23,2025-10-27,3.84
50,Optimism,OP,1187,2022-07-29,2025-10-27,3.25
