date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2020-02-20,9827.722298700091,1,0,0.5,0.0,0.5,0.5,0.017886,,
2020-02-21,9571.72096021256,1,0,0.5,0.0,0.5,0.5,-0.1036155,-0.026048898280468524,-0.02639418017321983
2020-02-22,9884.083865613478,1,0,0.5,0.0,0.5,0.5,-0.04314900000000001,0.032633933510947344,0.03211275512658677
2020-02-23,9388.499934453588,1,0,0.5,0.0,0.5,0.5,-0.035418000000000005,-0.05013959188306938,-0.05144024400840077
2020-02-24,8797.50457050979,1,0,0.5,0.0,0.5,0.5,-0.06593700000000001,-0.06294885956967256,-0.06501741933199237
2020-02-25,8729.861383210167,1,0,0.5,0.0,0.5,0.5,-0.086784,-0.007688906184416089,-0.007718618223615626
2020-02-26,8783.042220288953,1,0,0.5,0.0,0.5,0.5,-0.015,0.006091830642473539,0.006073350456317692
2020-02-27,8784.301121964574,0,1,0.0,0.5,-0.5,0.5,0.015,0.0001433332146250077,0.00014332294340126028
2020-02-28,8862.456225980364,0,1,0.0,0.5,-0.5,0.5,0.015,0.008897133981480732,0.008857787692192516
2020-02-29,9066.486658577453,0,1,0.0,0.5,-0.5,0.5,0.015,0.023021883256130637,0.022760877997914448
2020-03-01,8775.029425754163,0,1,0.0,0.5,-0.5,0.5,0.015,-0.032146656560460896,-0.03267470789477806
2020-03-02,8839.111689266063,0,1,0.0,0.5,-0.5,0.5,0.015,0.0073027975637121045,0.007276261252140488
2020-03-03,8318.048656098234,0,1,0.0,0.5,-0.5,0.5,0.015,-0.05894970574934488,-0.06075869316227502
2020-03-04,8341.400059170108,0,1,0.0,0.5,-0.5,0.5,0.015,0.002807317441543722,0.002803384285294184
2020-03-05,8228.76516017302,0,1,0.0,0.5,-0.5,0.5,0.015960000000000002,-0.013503116766742651,-0.013595112943355761
2020-03-06,8471.891063610345,0,1,0.0,0.5,-0.5,0.5,0.0211905,0.02954585514410435,0.029117787673092782
2020-03-07,9107.430885402386,0,1,0.0,0.5,-0.5,0.5,0.09114749999999999,0.07501746859351166,0.07233691130202811
2020-03-08,9189.029009478556,0,1,0.0,0.5,-0.5,0.5,0.1146885,0.008959510657056802,0.00891961237707454
2020-03-09,9121.84889803149,0,1,0.0,0.5,-0.5,0.5,0.04483200000000001,-0.007310904272667784,-0.007337759906010588
