date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_adf_long,avg_adf_short,daily_return
2021-03-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,
2021-03-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-08,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-09,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-10,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-11,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-12,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-13,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-14,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-15,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-16,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-17,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-18,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-21,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-22,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-23,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-24,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-25,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-26,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-27,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-28,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-29,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-30,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-03-31,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-01,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-08,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-09,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-10,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-11,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-12,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-13,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-14,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-15,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-16,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-17,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-18,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-21,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-22,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-23,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-24,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-25,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-26,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-27,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-28,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-29,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-04-30,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-01,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2021-05-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
