date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2020-02-20,9827.722298700091,1,0,0.5,0.0,0.5,0.5,0.017886,,
2020-02-21,9571.72096021256,1,0,0.5,0.0,0.5,0.5,-0.1036155,-0.026048898280468524,-0.02639418017321983
2020-02-22,9884.083865613478,1,0,0.5,0.0,0.5,0.5,-0.04314900000000001,0.032633933510947344,0.03211275512658677
2020-02-23,9388.499934453588,1,0,0.5,0.0,0.5,0.5,-0.035418000000000005,-0.05013959188306938,-0.05144024400840077
2020-02-24,8797.50457050979,1,0,0.5,0.0,0.5,0.5,-0.06593700000000001,-0.06294885956967256,-0.06501741933199237
2020-02-25,8729.861383210167,1,0,0.5,0.0,0.5,0.5,-0.086784,-0.007688906184416089,-0.007718618223615626
2020-02-26,8783.042220288953,1,0,0.5,0.0,0.5,0.5,-0.015,0.006091830642473539,0.006073350456317692
2020-02-27,8781.783499029896,1,0,0.5,0.0,0.5,0.5,-0.015,-0.00014331267315892404,-0.000143322943401317
2020-02-28,8704.339821418398,1,0,0.5,0.0,0.5,0.5,-0.015,-0.00881867306567663,-0.008857787692192615
2020-02-29,8508.459070018858,1,0,0.5,0.0,0.5,0.5,-0.015,-0.022503803323204896,-0.022760877997914455
2020-03-01,8791.062331594221,1,0,0.5,0.0,0.5,0.5,-0.015,0.033214388087164703,0.032674707894777916
2020-03-02,8727.328418879115,1,0,0.5,0.0,0.5,0.5,-0.015,-0.007249853352313651,-0.007276261252140581
2020-03-03,9274.029743360914,1,0,0.5,0.0,0.5,0.5,-0.015,0.06264246035466758,0.06075869316227507
2020-03-04,9248.067482217511,1,0,0.5,0.0,0.5,0.5,-0.015,-0.002799458472945715,-0.002803384285294155
2020-03-05,9374.654537079572,1,0,0.5,0.0,0.5,0.5,-0.015960000000000002,0.0136879467094575,0.013595112943355853
2020-03-06,9105.62117290775,1,0,0.5,0.0,0.5,0.5,-0.0211905,-0.028697949679928447,-0.029117787673092844
2020-03-07,8470.207637482392,1,0,0.5,0.0,0.5,0.5,-0.09114749999999999,-0.0697825577584893,-0.07233691130202814
2020-03-08,8394.992611711845,1,0,0.5,0.0,0.5,0.5,-0.1146885,-0.008879950644622325,-0.008919612377074696
2020-03-09,8456.819610334218,1,0,0.5,0.0,0.5,0.5,-0.04483200000000001,0.007364747234692937,0.0073377599060105055
