Method,Description,total_return,annualized_return,annualized_vol,sharpe_ratio,max_drawdown,win_rate,calmar_ratio,num_days,final_value
Top/Bottom 10 Coins (Risk Parity),"Fixed count: 10 longs, 10 shorts, risk parity weighting",-0.2035630645891616,-0.038242784690533216,0.22422573413031618,-0.17055484214986297,-0.56445063400747,0.5269826372595026,-0.06775222204822097,2132,7964.369354108384
Top/Bottom Deciles (Risk Parity),"Top 10% and Bottom 10% by percentile, risk parity weighting",-0.6078492255163255,-0.14817341566964737,0.357989078020599,-0.4139048500835027,-0.792171243807649,0.5429375879868606,-0.18704720327569235,2132,3921.5077448367456
